"","Measurement.Time","Value","Loc"
"527",2017-11-24,18.1405,"PC"
"528",2017-11-24,18.52125,"PC"
"529",2017-11-25,19.7815,"PC"
"530",2017-11-25,19.23425,"PC"
"531",2017-11-25,18.64,"PC"
"532",2017-11-25,18.4735,"PC"
"533",2017-11-25,18.35425,"PC"
"534",2017-11-25,18.06925,"PC"
"535",2017-11-25,17.99775,"PC"
"536",2017-11-25,17.8315,"PC"
"537",2017-11-25,17.90275,"PC"
"538",2017-11-25,17.90275,"PC"
"539",2017-11-25,17.99775,"PC"
"540",2017-11-25,17.99775,"PC"
"541",2017-11-25,18.093,"PC"
"542",2017-11-25,18.23575,"PC"
"543",2017-11-25,18.42575,"PC"
"544",2017-11-25,18.473,"PC"
"545",2017-11-25,18.63975,"PC"
"546",2017-11-25,18.6635,"PC"
"547",2017-11-25,18.735,"PC"
"548",2017-11-25,18.6635,"PC"
"549",2017-11-25,18.73525,"PC"
"550",2017-11-25,18.616,"PC"
"551",2017-11-25,18.6635,"PC"
"552",2017-11-25,18.9965,"PC"
"553",2017-11-25,19.21075,"PC"
"554",2017-11-25,19.425,"PC"
"555",2017-11-25,19.5435,"PC"
"556",2017-11-25,19.9245,"PC"
"557",2017-11-25,20.1385,"PC"
"558",2017-11-25,20.42525,"PC"
"559",2017-11-25,20.282,"PC"
"560",2017-11-25,20.01975,"PC"
"561",2017-11-25,20.448,"PC"
"562",2017-11-25,21.044,"PC"
"563",2017-11-25,22.16675,"PC"
"564",2017-11-25,22.40625,"PC"
"565",2017-11-25,21.54475,"PC"
"566",2017-11-25,20.85325,"PC"
"567",2017-11-25,19.66325,"PC"
"568",2017-11-25,19.47225,"PC"
"569",2017-11-25,19.5915,"PC"
"570",2017-11-25,18.997,"PC"
"571",2017-11-25,18.78275,"PC"
"572",2017-11-25,18.3785,"PC"
"573",2017-11-25,18.402,"PC"
"574",2017-11-25,18.759,"PC"
"575",2017-11-25,19.02075,"PC"
"576",2017-11-25,19.13975,"PC"
"577",2017-11-26,19.47275,"PC"
"578",2017-11-26,20.66225,"PC"
"579",2017-11-26,19.97175,"PC"
"580",2017-11-26,19.2345,"PC"
"581",2017-11-26,19.16275,"PC"
"582",2017-11-26,19.0205,"PC"
"583",2017-11-26,18.80675,"PC"
"584",2017-11-26,18.63975,"PC"
"585",2017-11-26,18.54475,"PC"
"586",2017-11-26,18.497,"PC"
"587",2017-11-26,18.4495,"PC"
"588",2017-11-26,18.49675,"PC"
"589",2017-11-26,18.5925,"PC"
"590",2017-11-26,18.8065,"PC"
"591",2017-11-26,18.97275,"PC"
"592",2017-11-26,18.9965,"PC"
"593",2017-11-26,19.02025,"PC"
"594",2017-11-26,19.06775,"PC"
"595",2017-11-26,19.139,"PC"
"596",2017-11-26,19.1155,"PC"
"597",2017-11-26,19.04425,"PC"
"598",2017-11-26,19.0915,"PC"
"599",2017-11-26,19.18675,"PC"
"600",2017-11-26,19.282,"PC"
"601",2017-11-26,19.18675,"PC"
"602",2017-11-26,19.2105,"PC"
"603",2017-11-26,19.49625,"PC"
"604",2017-11-26,19.258,"PC"
"605",2017-11-26,19.23425,"PC"
"606",2017-11-26,19.2105,"PC"
"607",2017-11-26,19.3055,"PC"
"608",2017-11-26,19.5435,"PC"
"609",2017-11-26,19.853,"PC"
"610",2017-11-26,19.829,"PC"
"611",2017-11-26,19.90025,"PC"
"612",2017-11-26,19.8765,"PC"
"613",2017-11-26,20.01925,"PC"
"614",2017-11-26,20.11475,"PC"
"615",2017-11-26,20.472,"PC"
"616",2017-11-26,20.091,"PC"
"617",2017-11-26,18.7825,"PC"
"618",2017-11-26,18.3785,"PC"
"619",2017-11-26,18.331,"PC"
"620",2017-11-26,18.3785,"PC"
"621",2017-11-26,18.2595,"PC"
"622",2017-11-26,18.1405,"PC"
"623",2017-11-26,18.04525,"PC"
"624",2017-11-26,18.33075,"PC"
"625",2017-11-27,18.59225,"PC"
"626",2017-11-27,19.7335,"PC"
"627",2017-11-27,19.42475,"PC"
"628",2017-11-27,19.0915,"PC"
"629",2017-11-27,18.711,"PC"
"630",2017-11-27,18.52075,"PC"
"631",2017-11-27,18.283,"PC"
"632",2017-11-27,18.0455,"PC"
"633",2017-11-27,17.879,"PC"
"634",2017-11-27,17.78375,"PC"
"635",2017-11-27,17.78375,"PC"
"636",2017-11-27,17.879,"PC"
"637",2017-11-27,18.2355,"PC"
"638",2017-11-27,18.2355,"PC"
"639",2017-11-27,18.3305,"PC"
"640",2017-11-27,18.4495,"PC"
"641",2017-11-27,18.61625,"PC"
"642",2017-11-27,18.925,"PC"
"643",2017-11-27,19.2105,"PC"
"644",2017-11-27,19.47225,"PC"
"645",2017-11-27,19.61475,"PC"
"646",2017-11-27,19.6625,"PC"
"647",2017-11-27,19.75775,"PC"
"648",2017-11-27,20.091,"PC"
"649",2017-11-27,20.61525,"PC"
"650",2017-11-27,20.663,"PC"
"651",2017-11-27,21.046,"PC"
"652",2017-11-27,21.06825,"PC"
"653",2017-11-27,21.2115,"PC"
"654",2017-11-27,20.5915,"PC"
"655",2017-11-27,20.37725,"PC"
"656",2017-11-27,20.7105,"PC"
"657",2017-11-27,21.09225,"PC"
"658",2017-11-27,22.0475,"PC"
"659",2017-11-27,22.478,"PC"
"660",2017-11-27,22.81675,"PC"
"661",2017-11-27,22.192,"PC"
"662",2017-11-27,22.0705,"PC"
"663",2017-11-27,21.8315,"PC"
"664",2017-11-27,21.49725,"PC"
"665",2017-11-27,20.06825,"PC"
"666",2017-11-27,18.0215,"PC"
"667",2017-11-27,17.64075,"PC"
"668",2017-11-27,17.4505,"PC"
"669",2017-11-27,17.47425,"PC"
"670",2017-11-27,17.02125,"PC"
"671",2017-11-27,16.7825,"PC"
"672",2017-11-27,16.63925,"PC"
"673",2017-11-28,16.73475,"PC"
"674",2017-11-28,16.78275,"PC"
"675",2017-11-28,16.97375,"PC"
"676",2017-11-28,19.3535,"PC"
"677",2017-11-28,19.54375,"PC"
"678",2017-11-28,19.06775,"PC"
"679",2017-11-28,18.7585,"PC"
"680",2017-11-28,18.735,"PC"
"681",2017-11-28,18.64,"PC"
"682",2017-11-28,18.4735,"PC"
"683",2017-11-28,18.521,"PC"
"684",2017-11-28,18.521,"PC"
"685",2017-11-28,18.44975,"PC"
"686",2017-11-28,18.40225,"PC"
"687",2017-11-28,18.44975,"PC"
"688",2017-11-28,18.49725,"PC"
"689",2017-11-28,18.18825,"PC"
"690",2017-11-28,18.2595,"PC"
"691",2017-11-28,18.59225,"PC"
"692",2017-11-28,18.97275,"PC"
"693",2017-11-28,19.68625,"PC"
"694",2017-11-28,19.9245,"PC"
"695",2017-11-28,20.2575,"PC"
"696",2017-11-28,20.377,"PC"
"697",2017-11-28,20.78175,"PC"
"698",2017-11-28,20.92475,"PC"
"699",2017-11-28,20.42475,"PC"
"700",2017-11-28,20.25775,"PC"
"701",2017-11-28,20.472,"PC"
"702",2017-11-28,20.97275,"PC"
"703",2017-11-28,21.16375,"PC"
"704",2017-11-28,21.259,"PC"
